Date,Value,Variable
11/01/1994,107986.0287,Valence
15/01/2005,252070.244,Valence
27/07/1999,27150.77292,Valence
01/01/1990,86697.35444,Valence
23/03/2004,145935.4044,Valence
01/01/1999,79601.1297,Valence
25/01/2005,99347.14637,Valence
01/01/1992,226462.1287,Valence
13/10/1995,121869.9466,Valence
09/01/2003,248984.9289,Valence
01/01/2007,214737.9313,Valence
01/01/2006,287551.3677,Valence
27/11/2001,53067.4198,Valence
31/10/2006,87005.88595,Valence
23/10/2006,72813.43647,Valence
01/01/2006,281380.7375,Valence
09/12/2006,297424.3761,Valence
28/11/2005,233866.8849,Valence
01/01/2006,242814.2987,Valence
06/05/2006,221834.156,Valence
05/02/2006,197460.1667,Valence
01/01/2006,188204.2214,Valence
18/12/2006,226770.6602,Valence
11/11/2005,136679.4591,Valence
21/02/2006,128349.1083,Valence
17/04/2006,38874.97032,Valence
01/01/2005,129583.2344,Valence
11/11/2005,124955.2617,Valence
21/02/2006,240037.5151,Valence
01/01/2005,163830.2321,Valence
23/05/2005,298041.4391,Valence
30/05/2005,181416.5281,Valence
08/08/2005,140073.3057,Valence
01/01/2004,204556.3914,Valence
30/05/2005,82994.97631,Valence
01/01/2005,192215.131,Valence
01/01/2006,79909.66121,Valence
01/01/2005,94102.11069,Valence
01/01/2004,106751.9026,Valence
12/06/2005,113539.5958,Valence
24/09/2002,232324.2274,Valence
27/09/2004,269039.4771,Valence
24/09/2002,238186.3261,Valence
24/09/2002,276135.7019,Valence
01/01/2004,84229.10235,Valence
01/01/2004,194991.9146,Valence
12/06/2005,295264.6555,Valence
01/01/2004,233866.8849,Valence
30/08/2004,287242.8362,Valence
01/01/2004,258549.4058,Valence
01/01/2004,137296.5222,Valence
09/12/2006,215354.9943,Valence
23/03/2004,211344.0847,Valence
01/01/2004,35789.65521,Valence
05/09/1994,111379.8753,Valence
23/03/2004,179873.8706,Valence
01/01/2004,284774.5841,Valence
01/01/2003,147169.5305,Valence
01/01/2001,93793.57918,Valence
12/01/2003,118167.5685,Valence
01/01/2000,116007.8479,Valence
01/01/2003,203939.3284,Valence
01/01/2003,247750.8029,Valence
01/01/2002,110762.8123,Valence
24/06/2003,210109.9586,Valence
03/04/2003,91633.8586,Valence
01/01/2003,225228.0026,Valence
16/07/2002,237260.7315,Valence
19/07/2002,30606.32584,Valence
01/01/2002,137913.5852,Valence
23/05/2003,271507.7292,Valence
01/01/2002,83303.50782,Valence
19/07/2002,134519.7386,Valence
25/06/2002,186353.0323,Valence
22/04/2003,195917.5091,Valence
24/09/2002,211652.6162,Valence
26/05/2002,198077.2297,Valence
01/01/2002,222142.6875,Valence
01/01/2002,121561.4151,Valence
15/04/2002,116007.8479,Valence
11/12/2001,279838.08,Valence
19/11/2001,208875.8326,Valence
01/01/2002,290328.1513,Valence
11/12/2001,86388.82293,Valence
27/09/2005,297424.3761,Valence
01/01/1991,240963.1097,Valence
22/04/2003,152723.0977,Valence
01/01/2001,60163.64454,Valence
21/05/2001,235718.074,Valence
05/01/2001,190981.005,Valence
04/10/2006,281072.206,Valence
11/12/2001,275518.6388,Valence
22/04/2003,201162.5448,Valence
17/10/2000,210418.4901,Valence
23/01/2001,203630.7969,Valence
15/04/2002,174011.7719,Valence
23/05/2000,152723.0977,Valence
05/01/2001,286008.7102,Valence
16/01/1990,199002.8242,Valence
01/01/2000,101198.3354,Valence
01/01/2000,120018.7576,Valence
16/01/1990,165681.4211,Valence
01/01/2001,169692.3307,Valence
01/01/1999,185118.9063,Valence
