Date,Value,Variable
01/01/1990,180045,Consumption
04/01/1990,181598,Consumption
07/01/1990,180542,Consumption
10/01/1990,180513,Consumption
01/01/1991,180414,Consumption
04/01/1991,179188,Consumption
07/01/1991,179455,Consumption
10/01/1991,179549,Consumption
01/01/1992,179225,Consumption
04/01/1992,181251,Consumption
07/01/1992,182440,Consumption
10/01/1992,182738,Consumption
01/01/1993,184245,Consumption
04/01/1993,184640,Consumption
07/01/1993,188069,Consumption
10/01/1993,189490,Consumption
01/01/1994,191095,Consumption
04/01/1994,191515,Consumption
07/01/1994,193222,Consumption
10/01/1994,194348,Consumption
01/01/1995,194708,Consumption
04/01/1995,195963,Consumption
07/01/1995,196931,Consumption
10/01/1995,199163,Consumption
01/01/1996,201297,Consumption
04/01/1996,203008,Consumption
07/01/1996,204768,Consumption
10/01/1996,207283,Consumption
01/01/1997,209792,Consumption
04/01/1997,212354,Consumption
07/01/1997,215715,Consumption
10/01/1997,217665,Consumption
01/01/1998,219102,Consumption
04/01/1998,221815,Consumption
07/01/1998,225614,Consumption
10/01/1998,225003,Consumption
01/01/1999,227713,Consumption
04/01/1999,232273,Consumption
07/01/1999,234917,Consumption
10/01/1999,236628,Consumption
01/01/2000,239915,Consumption
04/01/2000,242029,Consumption
07/01/2000,244241,Consumption
10/01/2000,247390,Consumption
01/01/2001,247567,Consumption
04/01/2001,248457,Consumption
07/01/2001,252384,Consumption
10/01/2001,254533,Consumption
01/01/2002,256236,Consumption
04/01/2002,257702,Consumption
07/01/2002,259200,Consumption
10/01/2002,261207,Consumption
01/01/2003,263639,Consumption
04/01/2003,266158,Consumption
07/01/2003,268289,Consumption
10/01/2003,269656,Consumption
01/01/2004,271341,Consumption
04/01/2004,274232,Consumption
07/01/2004,275380,Consumption
10/01/2004,277906,Consumption
01/01/2005,279374,Consumption
04/01/2005,278885,Consumption
07/01/2005,281755,Consumption
10/01/2005,281709,Consumption
01/01/2006,281586,Consumption
04/01/2006,284000,Consumption
07/01/2006,287623,Consumption
10/01/2006,288802,Consumption
01/01/2007,289245,Consumption
04/01/2007,290983,Consumption
07/01/2007,295139,Consumption
10/01/2007,293962,Consumption
01/01/2008,297234,Consumption
04/01/2008,294925,Consumption
07/01/2008,290238,Consumption
10/01/2008,283236,Consumption
01/01/2009,281305,Consumption
04/01/2009,279930,Consumption
07/01/2009,282822,Consumption
10/01/2009,286912,Consumption
01/01/2010,282533,Consumption
04/01/2010,288462,Consumption
07/01/2010,288531,Consumption
10/01/2010,290445,Consumption
01/01/2011,287063,Consumption
04/01/2011,285724,Consumption
07/01/2011,286142,Consumption
10/01/2011,288898,Consumption
01/01/2012,288635,Consumption
04/01/2012,290659,Consumption
07/01/2012,292925,Consumption
10/01/2012,296553,Consumption
01/01/2013,295836,Consumption
04/01/2013,298755,Consumption
07/01/2013,302391,Consumption
10/01/2013,302681,Consumption
01/01/2014,304264,Consumption
04/01/2014,306925,Consumption
07/01/2014,310673,Consumption
11/01/1994,107986.0287,Valence
15/01/2005,252070.244,Valence
12/09/2013,76515.81459,Valence
01/01/2012,89165.60652,Valence
27/07/1999,27150.77292,Valence
10/04/2013,226153.5972,Valence
31/05/2010,28076.36745,Valence
01/01/2014,250836.118,Valence
01/01/2014,159202.2594,Valence
