Ranking,University,Graduate Prospects in %
1,University of Oxford,90
2,University of Cambridge,90
3,London School of Economics and Poli...,91
4,University of St Andrews,80
5,Imperial College London,95
6,Durham University,85
7,Loughborough University,83
8,UCL (University College London),85
9,University of Warwick,84
10,University of Bath,88
11,Lancaster University,78
12,University of Edinburgh,80
13,University of Manchester,81
14,University of Exeter,80
15,University of Southampton,80
16,University of Glasgow,78
17,University of Bristol,82
18,University of York,80
19,University of Birmingham,83
20,University of Leeds,80
21,"King's College London, University o...",85
22,University of East Anglia UEA,77
23,Heriot-Watt University,78
24,University of Nottingham,84
25,Cardiff University,83
26,University of Sheffield,79
27,University of Essex,71
28,University of Dundee,81
29,Swansea University,80
30,University of Strathclyde,81
31,University of Liverpool,78
32,"Royal Holloway, University of Londo...",71
33,Harper Adams University,70
34,Queen's University Belfast,83
35,University of Surrey,84
36,University of Reading,77
37,Newcastle University,78
38,University of Stirling,71
39,University of Aberdeen,75
40,University of Leicester,74
41,University of Sussex,71
42,Queen Mary University of London,79
43,University of the Arts London,57
44,Ulster University,75
45,Nottingham Trent University,68
46,University of Lincoln,70
47,"Aston University, Birmingham",80
48,SOAS University of London,64
49,"Northumbria University, Newcastle",74
50,University of Kent,69
51,Oxford Brookes University,76
52,Coventry University,76
53,University of Huddersfield,70
54,"City, University of London",75
55,"Bristol, University of the West of ...",76
56,Manchester Metropolitan University,64
57,Arts University Bournemouth,57
58,Keele University,75
59,Aberystwyth University,63
60,Edge Hill University,69
61,"St George's, University of London",89
62,Brunel University London,74
63,Cardiff Metropolitan University,68
64,"Goldsmiths, University of London",60
65,Robert Gordon University,76
66,Bangor University,70
67,Sheffield Hallam University,75
68,Bournemouth University,78
69,University of Plymouth,75
70,University of Chichester,66
71,University of Hull,72
72,University of Chester,66
73,Liverpool John Moores University,66
74,University of Portsmouth,69
75,University for the Creative Arts,53
76,Liverpool Hope University,58
77,Edinburgh Napier University,72
78,Glasgow Caledonian University,72
79,University of Roehampton,57
80,University of Hertfordshire,69
81,University of Brighton,75
82,Birmingham City University,70
83,University of Salford,70
84,Norwich University of the Arts,53
85,University of Bradford,73
86,Kingston University,69
87,University of Worcester,70
88,"Queen Margaret University, Edinburg...",68
89,University of Central Lancashire,69
90,University of Northampton,67
91,University of South Wales,65
92,University of Sunderland,61
93,University of Greenwich,71
94,University of West London,66
95,"Teesside University, Middlesbrough",74
96,University of Derby,65
97,Staffordshire University,64
98,University of Gloucestershire,62
99,Falmouth University,59
100,University of Cumbria,72
101,De Montfort University,68
102,Buckinghamshire New University,70
103,University of Wales Trinity Saint D...,53
104,University of the West of Scotland,70
105,Bath Spa University,60
106,University of Winchester,63
107,Middlesex University,59
108,London South Bank University,70
109,Abertay University,62
110,Leeds Beckett University,67
111,York St John University,64
112,"St Mary's University, Twickenham",69
113,University of Bolton,59
114,"University of Westminster, London",61
115,Royal Agricultural University,71
116,Plymouth Marjon University,67
117,Anglia Ruskin University,73
118,Canterbury Christ Church University,69
119,London Metropolitan University,56
120,Solent University (Southampton),61
121,"Newman University, Birmingham",60
122,Bishop Grosseteste University,68
123,University of Buckingham,71
124,University of Wolverhampton,64
125,Leeds Trinity University,64
126,University of Suffolk,74
127,University of East London,57
128,"Glyndwr University, Wrexham",63
129,Ravensbourne University London,70
130,University of Bedfordshire,66
