Date,Value
01/01/1956,9
01/04/1956,9.8
01/07/1956,9.1
01/10/1956,8.2
01/01/1957,6.9
01/04/1957,4.6
01/07/1957,5.5
01/10/1957,5.1
01/01/1958,4.9
01/04/1958,3.2
01/07/1958,1.7
01/10/1958,2.6
01/01/1959,2.5
01/04/1959,4.8
01/07/1959,5.4
01/10/1959,5.9
01/01/1960,6.1
01/04/1960,7.8
01/07/1960,9
01/10/1960,7.6
01/01/1961,9.2
01/04/1961,8.7
01/07/1961,6.9
01/10/1961,6.9
01/01/1962,5.8
01/04/1962,4.7
01/07/1962,5.6
01/10/1962,5.1
01/01/1963,3.9
01/04/1963,4.5
01/07/1963,4.7
01/10/1963,6.3
01/01/1964,8.1
01/04/1964,8.2
01/07/1964,8.5
01/10/1964,8.8
01/01/1965,7.6
01/04/1965,7.1
01/07/1965,7.9
01/10/1965,7.4
01/01/1966,8.8
01/04/1966,8.4
01/07/1966,5.9
01/10/1966,4.5
01/01/1967,1.2
01/04/1967,3.6
01/07/1967,4.6
01/10/1967,5.7
01/01/1968,9.3
01/04/1968,5.3
01/07/1968,5.5
01/10/1968,6.1
01/01/1969,6.3
01/04/1969,7
01/07/1969,6.7
01/10/1969,8.4
01/01/1970,7.8
01/04/1970,12.9
01/07/1970,14.3
01/10/1970,12.6
01/01/1971,12
01/04/1971,8.4
01/07/1971,8.9
01/10/1971,8.7
01/01/1972,10.5
01/04/1972,12.4
01/07/1972,11.8
01/10/1972,14.8
01/01/1973,15.2
01/04/1973,15.4
01/07/1973,15.9
01/10/1973,14.8
01/01/1974,13
01/04/1974,14.5
01/07/1974,20.7
01/10/1974,24.4
01/01/1975,35.8
01/04/1975,31.8
01/07/1975,28.8
01/10/1975,22.7
01/01/1976,13.1
01/04/1976,14.1
01/07/1976,10.5
01/10/1976,11.6
01/01/1977,11.7
01/04/1977,10.6
01/07/1977,9.8
01/10/1977,10.4
01/01/1978,11.8
01/04/1978,14.9
01/07/1978,15.4
01/10/1978,15.1
01/01/1979,15
01/04/1979,15
01/07/1979,18.2
01/10/1979,20.6
01/01/1980,21.1
01/04/1980,21.1
01/07/1980,18.4
01/10/1980,14.4
01/01/1981,10.5
01/04/1981,7.2
01/07/1981,6.1
01/10/1981,6.3
01/01/1982,7.3
01/04/1982,7.5
01/07/1982,6.2
01/10/1982,5.5
01/01/1983,6.6
01/04/1983,6.4
01/07/1983,7.2
01/10/1983,7.9
01/01/1984,6.7
01/04/1984,7
01/07/1984,6.7
01/10/1984,8.4
01/01/1985,9.7
01/04/1985,9.2
01/07/1985,9.4
01/10/1985,8.3
01/01/1986,7.4
01/04/1986,8.3
01/07/1986,8.5
01/10/1986,7.5
01/01/1987,7.3
01/04/1987,8
01/07/1987,9.1
01/10/1987,10.9
01/01/1988,11.9
01/04/1988,11.7
01/07/1988,12
01/10/1988,12.2
01/01/1989,11.6
01/04/1989,11.9
01/07/1989,11.5
01/10/1989,11.5
01/01/1990,12.1
01/04/1990,11.9
01/07/1990,10.6
01/10/1990,8
01/01/1991,6.7
01/04/1991,5.4
01/07/1991,5.7
01/10/1991,6
01/01/1992,5.3
01/04/1992,4.1
01/07/1992,2.1
01/10/1992,1.5
01/01/1993,0.6
01/04/1993,2.1
01/07/1993,3.6
01/10/1993,3.8
01/01/1994,4.4
01/04/1994,3.1
01/07/1994,3.3
01/10/1994,3.8
01/01/1995,3.9
01/04/1995,5
01/07/1995,4.3
01/10/1995,4.9
01/01/1996,4.6
01/04/1996,4.3
01/07/1996,4.9
01/10/1996,4
01/01/1997,5.7
01/04/1997,8.1
01/07/1997,7.9
01/10/1997,8.3
01/01/1998,7.4
01/04/1998,7.4
01/07/1998,9.5
01/10/1998,8.4
01/01/1999,7.2
01/04/1999,7.3
01/07/1999,5.4
01/10/1999,6.1
01/01/2000,6.6
01/04/2000,6.5
01/07/2000,7.2
01/10/2000,7.2
01/01/2001,8.7
01/04/2001,7.5
01/07/2001,5.8
01/10/2001,5.6
01/01/2002,3.2
01/04/2002,3
01/07/2002,2.9
01/10/2002,2.6
01/01/2003,2.9
01/04/2003,3.9
01/07/2003,4.2
01/10/2003,4.6
01/01/2004,5.7
01/04/2004,4.2
01/07/2004,4.7
01/10/2004,5
01/01/2005,3.7
01/04/2005,4
01/07/2005,3.6
01/10/2005,2.6
01/01/2006,4.6
01/04/2006,6.1
01/07/2006,5.6
01/10/2006,7.1
01/01/2007,7.1
01/04/2007,5
01/07/2007,6
01/10/2007,5.6
01/01/2008,5
01/04/2008,3.1
01/07/2008,1.3
01/10/2008,-0.7
01/01/2009,-3.5
01/04/2009,0.6
01/07/2009,1.4
01/10/2009,2.2
01/01/2010,2.7
01/04/2010,0.1
01/07/2010,1.2
01/10/2010,1.1
01/01/2011,3.9
01/04/2011,2.2
01/07/2011,0.1
01/10/2011,0.1
01/01/2012,-0.9
01/04/2012,1.3
01/07/2012,3.4
01/10/2012,4
01/01/2013,3.1
01/04/2013,5
01/07/2013,3.8
01/10/2013,4
01/01/2014,5
01/04/2014,2.2
01/07/2014,2.3
01/10/2014,3.5
01/01/2015,3.8
01/04/2015,3.8
01/07/2015,4.5
01/10/2015,3.3
01/01/2016,3.1
01/04/2016,3.9
01/07/2016,4
01/10/2016,3.9
01/01/2017,3.9
01/04/2017,3.2
