,Unnamed: 0,Unnamed: 0.1,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_id,release_date
0,0,0,Ed Sheeran,Bad Habits,Bad Habits,6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11,-3.712,0,0.0348,3.14e-05,0.364,0.591,126.026,231041,4,spotify:album:31lHUoHC3P6BRFzKYLyRJO,2019-03-26
1,1,1,Olivia Rodrigo,SOUR,good 4 u,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.0,0.0849,0.688,166.928,178147,4,spotify:album:6s84u2TUpR3wdUv4NgKA2j,2021-05-21
2,2,2,Russ Millions,Body,Body,3CVb6hkMrlF7eHhXi5B3PZ,0.889,0.705,11,-8.683,0,0.392,1.04e-05,0.0692,0.815,141.069,183830,4,spotify:album:4OyzQQJHEfKXRfyN4QyLR7,2021-05-29
3,3,3,Lil Nas X,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),3BZEcbdtXQSo7OrvKRJ6mb,0.61,0.508,8,-6.682,0,0.152,0.0,0.384,0.758,178.818,137876,4,spotify:album:2Hjcfw8zHN4dJDZJGOzLd6,2021-03-31
4,4,4,Nathan Evans,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,3iw6V4LH7yPj1ESORX9RIN,0.722,0.893,0,-3.255,0,0.0475,0.000937,0.0673,0.439,119.932,116750,4,spotify:album:1zEBi4O4AaY5M55dUcUp3z,2021-01-21
5,5,5,Olivia Rodrigo,drivers license,drivers license,7lPN2DXiMsVn7XUKtOW1CS,0.585,0.436,10,-8.761,1,0.0601,1.31e-05,0.105,0.132,143.874,242014,4,spotify:album:0Hi8bTOS35xZM0zZ6S89hT,2021-01-19
6,6,6,Little Mix,Sweet Melody,Sweet Melody,28xX6K8LnkZve4RiuEB3iK,0.448,0.824,5,-4.249,0,0.057,0.0,0.113,0.419,119.965,213693,4,spotify:album:5GGIgiGtxIgcVJQnsKQW94,2020-10-23
7,7,7,George Michael,George Michael & Wham! Last Christmas: The Original Motion Picture Soundtrack,Last Christmas,38p8YDx5gepOiK4SnEfoB4,0.735,0.583,2,-8.648,1,0.0277,5.56e-06,0.183,0.942,107.74,264960,4,spotify:album:3rLjiJI34bHFNIFqeK3y9s,2019-11-08
8,8,8,LadBaby,Don't Stop Me Eatin',Don't Stop Me Eatin',4B0gtzXvzGDobYKs9XfTIh,0.621,0.748,2,-7.097,1,0.0351,0.0,0.136,0.219,117.96,242267,4,spotify:album:6q1MiYTIE28nFzjkvLLt0I,2020-12-18
9,9,9,Mariah Carey,Merry Christmas,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.0,0.0708,0.35,150.273,241107,4,spotify:album:61ulfFSmmxMhc2wCdmdMkN,1994-11-01
10,10,10,Ariana Grande,Positions,positions,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.0,0.0931,0.682,144.015,172325,4,spotify:album:3euz4vS7ezKGnNSwgyvKcd,2020-10-30
11,11,11,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",Lemonade,02kDW379Yfd5PzW5A6vuGt,0.799,0.66,1,-6.153,0,0.079,0.0,0.111,0.471,140.04,195429,4,spotify:album:1pFaEu56zqpzSviJc3htZN,2020-08-14
12,12,12,24kGoldn,Mood (feat. iann dior),Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,7,-3.558,0,0.0369,0.0,0.272,0.756,90.989,140526,4,spotify:album:4PTxbJPI4jj0Kx8hwr1v0T,2020-11-06
13,13,13,Cardi B,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,0.935,0.454,1,-7.509,1,0.375,0.0,0.0824,0.357,133.073,187541,4,spotify:album:2ogiazbrNEx0kQHGl5ZBTQ,2020-08-07
14,14,14,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4,spotify:album:5glfCPECXSHzidU6exW8wO,2020-07-03
15,15,15,Jawsh 685,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.0,0.269,0.761,150.076,171375,4,spotify:album:1XMw3pBrYeXzNXZXc84DNw,2020-06-11
16,16,16,DaBaby,BLAME IT ON BABY,ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11,-7.956,1,0.164,0.0,0.101,0.497,89.977,181733,4,spotify:album:623PL2MBg50Br5dLXC9E9e,2020-04-17
17,17,17,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.0,0.323,0.646,123.056,182200,4,spotify:album:4TqgXMSSTwP3RCo3MMSR6t,2020-05-22
