"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,-0.482986,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,-0.666124,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,3.684573,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,2.596072,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,4.166138,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,4.003752,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,4.904178,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1987","1987","PC","Percentage","0","Units",,,0.254266,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1988","1988","PC","Percentage","0","Units",,,-0.013601,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1989","1989","PC","Percentage","0","Units",,,0.645187,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1990","1990","PC","Percentage","0","Units",,,1.475244,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1991","1991","PC","Percentage","0","Units",,,1.393634,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1992","1992","PC","Percentage","0","Units",,,1.957007,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1993","1993","PC","Percentage","0","Units",,,0.010688,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1994","1994","PC","Percentage","0","Units",,,5.332463,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1995","1995","PC","Percentage","0","Units",,,3.027587,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1996","1996","PC","Percentage","0","Units",,,2.9001,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1997","1997","PC","Percentage","0","Units",,,3.26089,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1998","1998","PC","Percentage","0","Units",,,2.218159,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1999","1999","PC","Percentage","0","Units",,,2.948022,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2000","2000","PC","Percentage","0","Units",,,3.746863,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2001","2001","PC","Percentage","0","Units",,,0.823153,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2002","2002","PC","Percentage","0","Units",,,0.466346,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2003","2003","PC","Percentage","0","Units",,,0.390059,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2004","2004","PC","Percentage","0","Units",,,2.668219,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2005","2005","PC","Percentage","0","Units",,,2.336641,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2006","2006","PC","Percentage","0","Units",,,3.913008,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2007","2007","PC","Percentage","0","Units",,,0.909239,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2008","2008","PC","Percentage","0","Units",,,-0.512017,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2009","2009","PC","Percentage","0","Units",,,-4.906548,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2010","2010","PC","Percentage","0","Units",,,1.870991,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2011","2011","PC","Percentage","0","Units",,,1.336778,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2012","2012","PC","Percentage","0","Units",,,0.2265,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2013","2013","PC","Percentage","0","Units",,,0.933341,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2014","2014","PC","Percentage","0","Units",,,1.619394,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2015","2015","PC","Percentage","0","Units",,,2.342591,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,3.245957,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2017","2017","PC","Percentage","0","Units",,,2.821736,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2018","2018","PC","Percentage","0","Units",,,1.989537,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2019","2019","PC","Percentage","0","Units",,,2.114664,,
