Home_GD,Date,Away_GD
1.0,2020-09-12 14:00:00,
0.0,2020-09-26 14:00:00,
0.0,2020-10-18 13:00:00,
3.0,2020-11-07 15:00:00,
1.0,2020-11-27 20:00:00,
1.0,2020-12-13 14:15:00,
-6.0,2020-12-19 12:30:00,
-6.0,2020-12-28 15:00:00,
-4.0,2021-01-02 15:00:00,
-5.0,2021-01-26 18:00:00,
-4.0,2021-01-30 15:00:00,
-7.0,2021-02-13 15:00:00,
-7.0,2021-02-28 12:00:00,
-6.0,2021-03-13 15:00:00,
-6.0,2021-03-03 20:15:00,
-9.0,2021-04-10 16:30:00,
-11.0,2021-05-01 11:30:00,
-10.0,2021-05-16 11:00:00,
-12.0,2021-05-19 18:00:00,
,2020-09-19 16:30:00,2.0
,2020-10-03 11:30:00,-2.0
,2020-10-24 14:00:00,-1.0
,2020-10-30 20:00:00,-3.0
,2020-11-23 17:30:00,-4.0
,2020-12-06 12:00:00,0.0
,2020-12-16 20:00:00,0.0
,2020-12-26 15:00:00,-3.0
,2021-01-14 20:00:00,-3.0
,2021-01-17 19:15:00,-7.0
,2021-02-02 20:15:00,-6.0
,2021-02-08 20:00:00,-8.0
,2021-02-22 20:00:00,-7.0
,2021-03-07 19:15:00,-10.0
,2021-04-05 17:00:00,-10.0
,2021-04-17 14:00:00,-10.0
,2021-04-26 19:00:00,-11.0
,2021-05-08 14:00:00,-9.0
,2021-05-23 15:00:00,-11.0
,2021-05-11 19:15:00,-13.0
