Date,Value
01/01/1955,66618
01/04/1955,67048
01/07/1955,67996
01/10/1955,67544
01/01/1956,67761
01/04/1956,67658
01/07/1956,67761
01/10/1956,67948
01/01/1957,68394
01/04/1957,69004
01/07/1957,69752
01/10/1957,70165
01/01/1958,70638
01/04/1958,70601
01/07/1958,71458
01/10/1958,72812
01/01/1959,72850
01/04/1959,74240
01/07/1959,74609
01/10/1959,76520
01/01/1960,77425
01/04/1960,77168
01/07/1960,77682
01/10/1960,77700
01/01/1961,79076
01/04/1961,79111
01/07/1961,79492
01/10/1961,79529
01/01/1962,80173
01/04/1962,81510
01/07/1962,80982
01/10/1962,81916
01/01/1963,82371
01/04/1963,84904
01/07/1963,85873
01/10/1963,85652
01/01/1964,86933
01/04/1964,87219
01/07/1964,87704
01/10/1964,88590
01/01/1965,88437
01/04/1965,88116
01/07/1965,89100
01/10/1965,89376
01/01/1966,90611
01/04/1966,91453
01/07/1966,89907
01/10/1966,89890
01/01/1967,90806
01/04/1967,92011
01/07/1967,93949
01/10/1967,94670
01/01/1968,97626
01/04/1968,93892
01/07/1968,95561
01/10/1968,95677
01/01/1969,95528
01/04/1969,96380
01/07/1969,96515
01/10/1969,97152
01/01/1970,97439
01/04/1970,98985
01/07/1970,100504
01/10/1970,100099
01/01/1971,99851
01/04/1971,102082
01/07/1971,103893
01/10/1971,104735
01/01/1972,106523
01/04/1972,108939
01/07/1972,110594
01/10/1972,111508
01/01/1973,115901
01/04/1973,115117
01/07/1973,115974
01/10/1973,115055
01/01/1974,112991
01/04/1974,113548
01/07/1974,114643
01/10/1974,114936
01/01/1975,114543
01/04/1975,114772
01/07/1975,113560
01/10/1975,112589
01/01/1976,113340
01/04/1976,114084
01/07/1976,115164
01/10/1976,115398
01/01/1977,113063
01/04/1977,112913
01/07/1977,114306
01/10/1977,116670
01/01/1978,119511
01/04/1978,119170
01/07/1978,121871
01/10/1978,121065
01/01/1979,123208
01/04/1979,130150
01/07/1979,124720
01/10/1979,126419
01/01/1980,128571
01/04/1980,125220
01/07/1980,126872
01/10/1980,124460
01/01/1981,126732
01/04/1981,126677
01/07/1981,126774
01/10/1981,126430
01/01/1982,126864
01/04/1982,126772
01/07/1982,128921
01/10/1982,130035
01/01/1983,132032
01/04/1983,132884
01/07/1983,135064
01/10/1983,135137
01/01/1984,135981
01/04/1984,137086
01/07/1984,136378
01/10/1984,138972
01/01/1985,142167
01/04/1985,142947
01/07/1985,145004
01/10/1985,146166
01/01/1986,150224
01/04/1986,152620
01/07/1986,153631
01/10/1986,154373
01/01/1987,156162
01/04/1987,158820
01/07/1987,162340
01/10/1987,164869
01/01/1988,168168
01/04/1988,170396
01/07/1988,174283
01/10/1988,175991
01/01/1989,177734
01/04/1989,179115
01/07/1989,179002
01/10/1989,179540
01/01/1990,180045
01/04/1990,181598
01/07/1990,180542
01/10/1990,180513
01/01/1991,180414
01/04/1991,179188
01/07/1991,179455
01/10/1991,179549
01/01/1992,179225
01/04/1992,181251
01/07/1992,182440
01/10/1992,182738
01/01/1993,184245
01/04/1993,184640
01/07/1993,188069
01/10/1993,189490
01/01/1994,191095
01/04/1994,191515
01/07/1994,193222
01/10/1994,194348
01/01/1995,194708
01/04/1995,195963
01/07/1995,196931
01/10/1995,199163
01/01/1996,201297
01/04/1996,203008
01/07/1996,204768
01/10/1996,207283
01/01/1997,209792
01/04/1997,212354
01/07/1997,215715
01/10/1997,217665
01/01/1998,219102
01/04/1998,221815
01/07/1998,225614
01/10/1998,225003
01/01/1999,227713
01/04/1999,232273
01/07/1999,234917
01/10/1999,236628
01/01/2000,239915
01/04/2000,242029
01/07/2000,244241
01/10/2000,247390
01/01/2001,247567
01/04/2001,248457
01/07/2001,252384
01/10/2001,254533
01/01/2002,256236
01/04/2002,257702
01/07/2002,259200
01/10/2002,261207
01/01/2003,263639
01/04/2003,266158
01/07/2003,268289
01/10/2003,269656
01/01/2004,271341
01/04/2004,274232
01/07/2004,275380
01/10/2004,277906
01/01/2005,279374
01/04/2005,278885
01/07/2005,281755
01/10/2005,281709
01/01/2006,281586
01/04/2006,284000
01/07/2006,287623
01/10/2006,288802
01/01/2007,289245
01/04/2007,290983
01/07/2007,295139
01/10/2007,293962
01/01/2008,297234
01/04/2008,294925
01/07/2008,290238
01/10/2008,283236
01/01/2009,281305
01/04/2009,279930
01/07/2009,282822
01/10/2009,286912
01/01/2010,282533
01/04/2010,288462
01/07/2010,288531
01/10/2010,290445
01/01/2011,287063
01/04/2011,285724
01/07/2011,286142
01/10/2011,288898
01/01/2012,288635
01/04/2012,290659
01/07/2012,292925
01/10/2012,296553
01/01/2013,295836
01/04/2013,298755
01/07/2013,302391
01/10/2013,302681
01/01/2014,304264
01/04/2014,306925
01/07/2014,310673
01/10/2014,311591
01/01/2015,315311
01/04/2015,318479
01/07/2015,323512
01/10/2015,320544
01/01/2016,328618
01/04/2016,330747
01/07/2016,334042
01/10/2016,334804
01/01/2017,336609
01/04/2017,335856
01/07/2017,337387
01/10/2017,339051
01/01/2018,342110
01/04/2018,342497
01/07/2018,345379
01/10/2018,347475
01/01/2019,347518
01/04/2019,350422
01/07/2019,349391
01/10/2019,347126
01/01/2020,338165
01/04/2020,269571
01/07/2020,323229
01/10/2020,317465
01/01/2021,303433
01/04/2021,325257
01/07/2021,331809
